# Matter power spectrum P(k) at redshift z=0
# for k=1.05238e-05 to 5.17653 h/Mpc,
# number of wavenumbers equal to 554
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.938828923702e-02       2.007352883864e+04 
       2.953133847789e-02       1.999847884516e+04 
       2.967467270615e-02       1.992353097375e+04 
       2.981829872569e-02       1.984832485674e+04 
       2.996222352960e-02       1.977235570323e+04 
       3.010645430658e-02       1.969667662816e+04 
       3.025099844746e-02       1.962088442894e+04 
       3.039586355213e-02       1.954494074872e+04 
       3.054105743666e-02       1.946883574219e+04 
       3.068658814082e-02       1.939296539865e+04 
       3.083246393587e-02       1.931680158922e+04 
       3.097869333264e-02       1.923997755711e+04 
       3.112528509008e-02       1.916352349893e+04 
       3.127224822410e-02       1.908693591666e+04 
       3.141959201681e-02       1.901028701803e+04 
       3.156732602622e-02       1.893360371912e+04 
       3.171546009635e-02       1.885682162259e+04 
       3.186400436779e-02       1.878000919313e+04 
       3.201296928879e-02       1.870313252250e+04 
       3.216236562681e-02       1.862613339004e+04 
       3.231220448066e-02       1.854918676259e+04 
       3.246249729322e-02       1.847232807442e+04 
       3.261325586472e-02       1.839504927031e+04 
       3.276449236670e-02       1.831799420347e+04 
       3.291621935667e-02       1.824085600993e+04 
       3.306844979345e-02       1.816384509425e+04 
       3.322119705331e-02       1.808680080707e+04 
       3.337447494688e-02       1.800952795362e+04 
       3.352829773698e-02       1.793248879513e+04 
       3.368268015733e-02       1.785535379795e+04 
       3.383763743224e-02       1.777823018714e+04 
       3.399318529729e-02       1.770103450522e+04 
       3.414934002119e-02       1.762386237568e+04 
       3.430611842877e-02       1.754692842480e+04 
       3.446353792517e-02       1.746988020632e+04 
       3.462161652143e-02       1.739279269649e+04 
       3.478037286144e-02       1.731567911767e+04 
       3.493982625043e-02       1.723866121610e+04 
       3.509999668505e-02       1.716207112068e+04 
       3.526090488520e-02       1.708496460490e+04 
       3.542257232766e-02       1.700816686328e+04 
       3.558502128167e-02       1.693139396613e+04 
       3.574827484675e-02       1.685455412002e+04 
       3.591235699259e-02       1.677787397874e+04 
       3.607729260149e-02       1.670116634214e+04 
       3.624310751338e-02       1.662467539424e+04 
       3.640982857358e-02       1.654800746946e+04 
       3.657748368361e-02       1.647167114072e+04 
