# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  101       3.469084016014e-10       9.776979609538e-14      -2.987791124502e-12       0.000000000000e+00       9.496174222959e-12       1.382013440661e-12      -6.737844316291e-15 
  102       3.509175399882e-10       9.959745119145e-14      -3.071209186446e-12       0.000000000000e+00       9.251616033068e-12       1.353222969176e-12      -6.630848737783e-15 
  103       3.549517461875e-10       1.014043412763e-13      -3.154585068509e-12       0.000000000000e+00       9.015267499750e-12       1.325272213714e-12      -6.543592336056e-15 
  104       3.590106037759e-10       1.031887851438e-13      -3.237860241586e-12       0.000000000000e+00       8.786940874978e-12       1.298149172660e-12      -6.473296420053e-15 
  105       3.630935550741e-10       1.049490963158e-13      -3.320975896431e-12       0.000000000000e+00       8.566374564758e-12       1.271834066765e-12      -6.416885487905e-15 
  106       3.671998959191e-10       1.066835838637e-13      -3.403872978956e-12       0.000000000000e+00       8.353230748604e-12       1.246299079981e-12      -6.370979416933e-15 
  107       3.713287704375e-10       1.083905532294e-13      -3.486492225524e-12       0.000000000000e+00       8.147092999015e-12       1.221508100304e-12      -6.331885653648e-15 
  108       3.754791658176e-10       1.100683070467e-13      -3.568774198242e-12       0.000000000000e+00       7.947463900943e-12       1.197416460609e-12      -6.295591403762e-15 
  109       3.796499070825e-10       1.117151459624e-13      -3.650659320260e-12       0.000000000000e+00       7.753762671270e-12       1.173970679491e-12      -6.257755822183e-15 
  110       3.838398630617e-10       1.133293937184e-13      -3.732086654364e-12       0.000000000000e+00       7.565455915559e-12       1.151121299225e-12      -6.214591833145e-15 
  111       3.880486054828e-10       1.149094742829e-13      -3.812989985372e-12       0.000000000000e+00       7.382474024780e-12       1.128863823028e-12      -6.165656611318e-15 
