# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   96       3.453023122937e-10       9.655986772762e-14      -2.755055451658e-12       3.821404036881e-16       1.135403773691e-11       1.526129351174e-12      -7.543159758447e-15 
   97       3.493681982269e-10       9.861138390866e-14      -2.843063719376e-12       3.902225288711e-16       1.105251580687e-11       1.493294435797e-12      -7.467509719257e-15 
   98       3.534631071013e-10       1.006493369187e-13      -2.931372958920e-12       3.983955059598e-16       1.076179110067e-11       1.461540032730e-12      -7.386979869287e-15 
   99       3.575866787665e-10       1.026717723459e-13      -3.019916483535e-12       4.066599302326e-16       1.048150492678e-11       1.430837876884e-12      -7.303028541680e-15 
  100       3.617383723891e-10       1.046767091912e-13      -3.108626419108e-12       4.150164248332e-16       1.021118370577e-11       1.401148033277e-12      -7.217232285466e-15 
  101       3.659174593430e-10       1.066621403157e-13      -3.197433722512e-12       4.234656413491e-16       9.950235153539e-12       1.372418499600e-12      -7.131288725108e-15 
  102       3.701230160996e-10       1.086260328871e-13      -3.286268199941e-12       4.320082603915e-16       9.697944464555e-12       1.344584808789e-12      -7.047019420033e-15 
  103       3.743539171182e-10       1.105663288264e-13      -3.375058525252e-12       4.406449921743e-16       9.453470495122e-12       1.317569631587e-12      -6.966372724176e-15 
  104       3.786090721267e-10       1.124809967264e-13      -3.463732831679e-12       4.493765554682e-16       9.216036475440e-12       1.291300642841e-12      -6.891005944029e-15 
  105       3.828881897821e-10       1.143681946304e-13      -3.552220538520e-12       4.582036099762e-16       8.985539706834e-12       1.265767725050e-12      -6.820961370409e-15 
  106       3.871911043952e-10       1.162261301777e-13      -3.640450806546e-12       4.671268158604e-16       8.762017493634e-12       1.240972787229e-12      -6.755815896287e-15 
  107       3.915175363811e-10       1.180530120959e-13      -3.728352011007e-12       4.761468548896e-16       8.545458310276e-12       1.216911996864e-12      -6.695084005044e-15 
  108       3.958670878353e-10       1.198470512139e-13      -3.815851766267e-12       4.852644307804e-16       8.335800122230e-12       1.193575583178e-12      -6.638216006924e-15 
  109       4.002392381095e-10       1.216064614739e-13      -3.902876950447e-12       4.944802695397e-16       8.132928706927e-12       1.170947640406e-12      -6.584596275472e-15 
  110       4.046333393877e-10       1.233294609437e-13      -3.989353730065e-12       5.037951198057e-16       7.936675974684e-12       1.149005931054e-12      -6.533541483986e-15 
  111       4.090486122616e-10       1.250142728298e-13      -4.075207584674e-12       5.132097531899e-16       7.746818289639e-12       1.127721689174e-12      -6.484298841956e-15 
  112       4.134841413071e-10       1.266591264888e-13      -4.160363331506e-12       5.227249646187e-16       7.563074790671e-12       1.107059423625e-12      -6.436044331516e-15 
  113       4.179388706598e-10       1.282622584410e-13      -4.244745150109e-12       5.323415726754e-16       7.385105712332e-12       1.086976721346e-12      -6.387880943886e-15 
  114       4.224115995908e-10       1.298219133818e-13      -4.328276606988e-12       5.420604199414e-16       7.212510705775e-12       1.067424050624e-12      -6.338836915817e-15 
  115       4.269009780832e-10       1.313363451947e-13      -4.410880680245e-12       5.518823733382e-16       7.044827159679e-12       1.048344564357e-12      -6.287863966038e-15 
  116       4.314056968917e-10       1.328038656131e-13      -4.492480714004e-12       5.618082987855e-16       6.881631649421e-12       1.029686753571e-12      -6.234060597984e-15 
  117       4.359250933987e-10       1.342229947530e-13      -4.573003360638e-12       5.718389809497e-16       6.722861867302e-12       1.011444573880e-12      -6.177376578714e-15 
  118       4.404586114540e-10       1.355923308686e-13      -4.652376044198e-12       5.819751943343e-16       6.568530862108e-12       9.936218509191e-13      -6.117991198338e-15 
  119       4.450056108064e-10       1.369105057587e-13      -4.730526095138e-12       5.922177282042e-16       6.418626654184e-12       9.762197844179e-13      -6.056096091572e-15 
  120       4.495653643993e-10       1.381761862002e-13      -4.807380783181e-12       6.025673867001e-16       6.273111468191e-12       9.592368650870e-13      -5.991895464151e-15 
  121       4.541370556659e-10       1.393880753820e-13      -4.882867350172e-12       6.130249889531e-16       6.131920965873e-12       9.426687915030e-13      -5.925606319257e-15 
  122       4.587197758245e-10       1.405449143386e-13      -4.956913042947e-12       6.235913691993e-16       5.994963478810e-12       9.265083869954e-13      -5.857458683939e-15 
  123       4.633125211746e-10       1.416454833842e-13      -5.029445146191e-12       6.342673768946e-16       5.862119241184e-12       9.107455165324e-13      -5.787695835530e-15 
  124       4.679141903919e-10       1.426886035457e-13      -5.100391015296e-12       6.450538768291e-16       5.733239622533e-12       8.953670036073e-13      -5.716574528075e-15 
  125       4.725235818236e-10       1.436731379972e-13      -5.169678109229e-12       6.559517492416e-16       5.608146360517e-12       8.803565471248e-13      -5.644365218750e-15 
  126       4.771393907846e-10       1.445979934933e-13      -5.237234023385e-12       6.669618899348e-16       5.486630793675e-12       8.656946382867e-13      -5.571352294280e-15 
  127       4.817602068521e-10       1.454621218030e-13      -5.302986522456e-12       6.780852103890e-16       5.368453094186e-12       8.513584774787e-13      -5.497834297367e-15 
  128       4.863845111618e-10       1.462645211433e-13      -5.366863573284e-12       6.893226378776e-16       5.253341500630e-12       8.373218911564e-13      -5.424124153106e-15 
  129       4.910108295433e-10       1.470042776361e-13      -5.428794077785e-12       7.006750880469e-16       5.141050736110e-12       8.235615497702e-13      -5.350503734604e-15 
