# Matter power spectrum P(k) at redshift z=1
# for k=1.04272e-05 to 5.29922 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.563915012315e-02       8.299200117864e+03 
       2.577472504346e-02       8.274939831836e+03 
       2.591046422810e-02       8.250407028370e+03 
       2.604637130186e-02       8.225764883403e+03 
       2.618244998073e-02       8.200902724298e+03 
       2.631870407448e-02       8.175831576696e+03 
       2.645513748930e-02       8.150714873653e+03 
       2.659175423063e-02       8.125384379855e+03 
       2.672855840597e-02       8.100042157999e+03 
       2.686555422789e-02       8.074468807721e+03 
       2.700274601712e-02       8.048794399837e+03 
       2.714013820571e-02       8.023139637233e+03 
       2.727773534036e-02       7.997213687905e+03 
       2.741554208583e-02       7.971183602154e+03 
       2.755356322851e-02       7.945060652405e+03 
       2.769180368012e-02       7.918831735239e+03 
       2.783026848150e-02       7.892581846752e+03 
       2.796896280660e-02       7.866130260989e+03 
       2.810789196661e-02       7.839700621046e+03 
       2.824706141422e-02       7.813071936939e+03 
       2.838647674807e-02       7.786421338121e+03 
       2.852614371737e-02       7.759702372506e+03 
       2.866606822669e-02       7.732850098719e+03 
       2.880625634095e-02       7.705903209080e+03 
       2.894671429061e-02       7.678927293528e+03 
       2.908744847702e-02       7.651907578435e+03 
       2.922846547810e-02       7.624770356647e+03 
       2.936977205412e-02       7.597631594254e+03 
       2.951137515380e-02       7.570437931931e+03 
       2.965328192063e-02       7.543100814013e+03 
       2.979549969948e-02       7.515717643330e+03 
       2.993803604344e-02       7.488314096788e+03 
       3.008089872102e-02       7.460883629646e+03 
       3.022409572357e-02       7.433371726236e+03 
       3.036763527312e-02       7.405837579656e+03 
       3.051152583049e-02       7.378240484696e+03 
       3.065577610375e-02       7.350563485811e+03 
       3.080039505712e-02       7.323041665652e+03 
       3.094539192023e-02       7.295260337436e+03 
       3.109077619775e-02       7.267482207859e+03 
       3.123655767956e-02       7.239821985985e+03 
       3.138274645131e-02       7.212042523388e+03 
       3.152935290550e-02       7.184180020347e+03 
       3.167638775304e-02       7.156327790981e+03 
       3.182386203543e-02       7.128472655322e+03 
       3.197178713746e-02       7.100635641121e+03 
       3.212017480052e-02       7.072722381414e+03 
       3.226903713662e-02       7.044822224279e+03 
       3.241838664302e-02       7.016912282625e+03 
       3.256823621760e-02       6.988965208394e+03 
       3.271859917508e-02       6.960988661166e+03 
       3.286948926396e-02       6.933095874088e+03 
       3.302092068436e-02       6.905124586985e+03 
       3.317290810680e-02       6.877143443501e+03 
       3.332546669192e-02       6.849204673001e+03 
       3.347861211130e-02       6.821222929642e+03 
       3.363236056932e-02       6.793198449688e+03 
       3.378672882624e-02       6.765202515804e+03 
       3.394173422251e-02       6.737233961354e+03 
       3.409739470444e-02       6.709352720243e+03 
       3.425372885125e-02       6.681418771159e+03 
       3.441075590374e-02       6.653469253480e+03 
       3.456849579444e-02       6.625437056152e+03 
       3.472696917963e-02       6.597523215997e+03 
       3.488619747313e-02       6.569572218947e+03 
       3.504620288212e-02       6.541624006141e+03 
       3.520700844510e-02       6.513747316128e+03 
       3.536863807205e-02       6.485831438810e+03 
       3.553111658714e-02       6.457948246029e+03 
       3.569446977401e-02       6.430057105675e+03 
       3.585872442391e-02       6.402169018570e+03 
       3.602390838679e-02       6.374299667079e+03 
